Name,Start,Finish,code,duration,time_start,time_finish
walk                     ,00:00:06.620 , 00:00:12.220,18,5.6,0.0,5.6
around_left              ,00:00:12.240 , 00:00:12.900,3,0.66,5.62,6.28
rearing_nosup            ,00:00:12.890 , 00:00:13.630,17,0.74,6.27,7.01
around_left              ,00:00:13.640 , 00:00:14.660,3,1.02,7.02,8.04
around_right             ,00:00:14.670 , 00:00:16.550,4,1.88,8.05,9.93
look_down                ,00:00:16.550 , 00:00:17.490,20,0.94,9.93,10.87
approach_feeder          ,00:00:17.480 , 00:00:18.400,11,0.92,10.86,11.78
feeder                   ,00:00:18.400 , 00:00:19.810,9,1.41,11.78,13.19
around_feeder            ,00:00:19.800 , 00:00:20.950,12,1.15,13.18,14.33
look_down                ,00:00:20.920 , 00:00:22.170,20,1.25,14.3,15.55
walk                     ,00:00:22.150 , 00:00:23.820,18,1.67,15.53,17.2
rearing_nosup            ,00:00:23.830 , 00:00:25.510,17,1.68,17.21,18.89
around_feeder            ,00:00:25.530 , 00:00:28.090,12,2.56,18.91,21.47
approach_left            ,00:00:28.090 , 00:00:28.890,7,0.8,21.47,22.27
around_left              ,00:00:28.920 , 00:00:30.190,3,1.27,22.3,23.57
grooming                 ,00:00:30.190 , 00:00:33.520,5,3.33,23.57,26.9
push_left                ,00:00:33.570 , 00:00:35.330,8,1.76,26.95,28.71
approach_right           ,00:00:35.340 , 00:00:36.650,2,1.31,28.72,30.03
around_right             ,00:00:36.640 , 00:00:38.240,4,1.6,30.02,31.62
rearing_nosup            ,00:00:38.240 , 00:00:39.100,17,0.86,31.62,32.48
approach_feeder          ,00:00:39.110 , 00:00:40.270,11,1.16,32.49,33.65
around_feeder            ,00:00:40.270 , 00:00:43.300,12,3.03,33.65,36.68
walk                     ,00:00:43.300 , 00:00:44.570,18,1.27,36.68,37.95
around_door              ,00:00:44.580 , 00:00:54.080,14,9.5,37.96,47.46
walk                     ,00:00:54.060 , 00:00:55.030,18,0.97,47.44,48.41
look_down                ,00:00:55.030 , 00:00:55.990,20,0.96,48.41,49.37
walk                     ,00:00:55.970 , 00:00:57.150,18,1.18,49.35,50.53
around_emptywall         ,00:00:57.130 , 00:00:59.320,15,2.19,50.51,52.7
approach_right           ,00:00:59.340 , 00:01:00.130,2,0.79,52.72,53.51
around_right             ,00:01:00.130 , 00:01:02.020,4,1.89,53.51,55.4
push_right               ,00:01:01.990 , 00:01:03.610,1,1.62,55.37,56.99
approach_feeder          ,00:01:03.640 , 00:01:04.570,11,0.93,57.02,57.95
look_around              ,00:01:04.570 , 00:01:05.960,19,1.39,57.95,59.34
walk                     ,00:01:05.930 , 00:01:06.540,18,0.61,59.31,59.92
grooming                 ,00:01:06.520 , 00:01:10.110,5,3.59,59.9,63.49
rearing_nosup            ,00:01:10.100 , 00:01:11.180,17,1.08,63.48,64.56
around_feeder            ,00:01:11.160 , 00:01:12.810,12,1.65,64.54,66.19
look_around              ,00:01:12.780 , 00:01:14.270,19,1.49,66.16,67.65
walk                     ,00:01:14.250 , 00:01:15.540,18,1.29,67.63,68.92
rearing_sup              ,00:01:15.520 , 00:01:17.470,16,1.95,68.9,70.85
walk                     ,00:01:17.470 , 00:01:17.930,18,0.46,70.85,71.31
rearing_sup              ,00:01:17.940 , 00:01:22.570,16,4.63,71.32,75.95
walk                     ,00:01:22.580 , 00:01:23.780,18,1.2,75.96,77.16
around_door              ,00:01:23.780 , 00:01:25.970,14,2.19,77.16,79.35
around_left              ,00:01:25.980 , 00:01:28.120,3,2.14,79.36,81.5
look_down                ,00:01:28.120 , 00:01:30.320,20,2.2,81.5,83.7
approach_right           ,00:01:30.280 , 00:01:30.720,2,0.44,83.66,84.1
push_right               ,00:01:30.710 , 00:01:32.980,1,2.27,84.09,86.36
approach_feeder          ,00:01:32.950 , 00:01:33.470,11,0.52,86.33,86.85
feeder                   ,00:01:33.450 , 00:01:37.330,9,3.88,86.83,90.71
approach_right           ,00:01:37.300 , 00:01:40.450,2,3.15,90.68,93.83
push_right               ,00:01:40.440 , 00:01:43.250,1,2.81,93.82,96.63
approach_feeder          ,00:01:43.230 , 00:01:43.990,11,0.76,96.61,97.37
feeder                   ,00:01:43.990 , 00:01:45.650,9,1.66,97.37,99.03
walk                     ,00:01:45.640 , 00:01:46.600,18,0.96,99.02,99.98
grooming                 ,00:01:46.650 , 00:02:18.100,5,31.45,100.03,131.48
approach_right           ,00:02:18.100 , 00:02:18.750,2,0.65,131.48,132.13
grooming                 ,00:02:18.770 , 00:02:21.490,5,2.72,132.15,134.87
around_right             ,00:02:21.470 , 00:02:22.940,4,1.47,134.85,136.32
push_right               ,00:02:22.930 , 00:02:23.780,1,0.85,136.31,137.16
approach_feeder          ,00:02:23.760 , 00:02:24.590,11,0.83,137.14,137.97
feeder                   ,00:02:24.610 , 00:02:27.700,9,3.09,137.99,141.08
grooming                 ,00:02:27.670 , 00:02:30.280,5,2.61,141.05,143.66
feeder                   ,00:02:30.260 , 00:02:31.480,9,1.22,143.64,144.86
approach_right           ,00:02:31.470 , 00:02:32.560,2,1.09,144.85,145.94
push_right               ,00:02:32.550 , 00:02:34.820,1,2.27,145.93,148.2
approach_feeder          ,00:02:34.820 , 00:02:35.740,11,0.92,148.2,149.12
grooming                 ,00:02:35.160 , 00:02:41.130,5,5.97,148.54,154.51
feeder                   ,00:02:35.740 , 00:02:39.660,9,3.92,149.12,153.04
look_around              ,00:02:39.650 , 00:02:41.200,19,1.55,153.03,154.58
around_feeder            ,00:02:41.190 , 00:02:42.820,12,1.63,154.57,156.2
walk                     ,00:02:42.810 , 00:02:43.740,18,0.93,156.19,157.12
approach_right           ,00:02:43.710 , 00:02:45.410,2,1.7,157.09,158.79
push_right               ,00:02:45.400 , 00:02:47.910,1,2.51,158.78,161.29
approach_feeder          ,00:02:47.910 , 00:02:49.770,11,1.86,161.29,163.15
around_feeder            ,00:02:49.760 , 00:02:51.220,12,1.46,163.14,164.6
approach_right           ,00:02:51.200 , 00:02:54.700,2,3.5,164.58,168.08
around_right             ,00:02:54.680 , 00:02:55.700,4,1.02,168.06,169.08
push_right               ,00:02:55.700 , 00:02:56.890,1,1.19,169.08,170.27
approach_feeder          ,00:02:56.880 , 00:02:57.170,11,0.29,170.26,170.55
feeder                   ,00:02:57.160 , 00:03:00.480,9,3.32,170.54,173.86
around_feeder            ,00:03:00.460 , 00:03:02.510,12,2.05,173.84,175.89
approach_wallwithlever   ,00:03:02.500 , 00:03:04.100,10,1.6,175.88,177.48
approach_feeder          ,00:03:04.090 , 00:03:04.720,11,0.63,177.47,178.1
around_feeder            ,00:03:04.720 , 00:03:05.780,12,1.06,178.1,179.16
walk                     ,00:03:05.790 , 00:03:07.350,18,1.56,179.17,180.73
around_door              ,00:03:07.360 , 00:03:09.900,14,2.54,180.74,183.28
walk                     ,00:03:09.900 , 00:03:10.830,18,0.93,183.28,184.21
around_feeder            ,00:03:10.810 , 00:03:14.110,12,3.3,184.19,187.49
approach_right           ,00:03:14.070 , 00:03:14.640,2,0.57,187.45,188.02
grooming                 ,00:03:14.640 , 00:03:17.020,5,2.38,188.02,190.4
approach_right           ,00:03:17.010 , 00:03:17.440,2,0.43,190.39,190.82
push_right               ,00:03:17.480 , 00:03:18.770,1,1.29,190.86,192.15
approach_feeder          ,00:03:18.770 , 00:03:19.440,11,0.67,192.15,192.82
feeder                   ,00:03:19.420 , 00:03:22.190,9,2.77,192.8,195.57
approach_right           ,00:03:22.150 , 00:03:23.600,2,1.45,195.53,196.98
around_right             ,00:03:23.580 , 00:03:25.300,4,1.72,196.96,198.68
push_right               ,00:03:25.250 , 00:03:26.550,1,1.3,198.63,199.93
approach_feeder          ,00:03:26.520 , 00:03:27.360,11,0.84,199.9,200.74
feeder                   ,00:03:27.320 , 00:03:29.820,9,2.5,200.7,203.2
grooming                 ,00:03:29.440 , 00:03:32.530,5,3.09,202.82,205.91
approach_right           ,00:03:32.350 , 00:03:33.930,2,1.58,205.73,207.31
around_right             ,00:03:33.920 , 00:03:34.360,4,0.44,207.3,207.74
approach_left            ,00:03:34.320 , 00:03:34.670,7,0.35,207.7,208.05
