Name,Start,Finish,code,duration,time_start,time_finish
rearing_sup              ,00:00:00.000 , 00:00:02.560,16,2.56,0.0,2.56
walk                      ,00:00:02.540 , 00:00:06.780,18,4.24,2.54,6.78
around_right             ,00:00:06.780 , 00:00:08.040,4,1.26,6.78,8.04
push_right               ,00:00:08.040 , 00:00:09.750,1,1.71,8.04,9.75
walk                     ,00:00:09.780 , 00:00:12.100,18,2.32,9.78,12.1
around_door              ,00:00:12.100 , 00:00:12.350,14,0.25,12.1,12.35
approach_feeder          ,00:00:12.410 , 00:00:13.230,11,0.82,12.41,13.23
feeder                   ,00:00:13.240 , 00:00:18.520,9,5.28,13.24,18.52
walk                      ,00:00:18.530 , 00:00:21.160,18,2.63,18.53,21.16
rearing_sup              ,00:00:21.190 , 00:00:22.190,16,1.0,21.19,22.19
look_down                ,00:00:22.200 , 00:00:23.090,20,0.89,22.2,23.09
around_feeder            ,00:00:23.110 , 00:00:27.480,12,4.37,23.11,27.48
approach_right           ,00:00:27.480 , 00:00:29.540,2,2.06,27.48,29.54
look_down                ,00:00:29.560 , 00:00:30.540,20,0.98,29.56,30.54
walk                     ,00:00:30.560 , 00:00:34.760,18,4.2,30.56,34.76
approach_feeder          ,00:00:34.750 , 00:00:36.130,11,1.38,34.75,36.13
walk                     ,00:00:36.130 , 00:00:38.150,18,2.02,36.13,38.15
rearing_sup              ,00:00:38.170 , 00:00:40.370,16,2.2,38.17,40.37
around_emptywall          ,00:00:40.370 , 00:00:44.400,15,4.03,40.37,44.4
rearing_sup              ,00:00:44.400 , 00:00:45.030,16,0.63,44.4,45.03
look_down                ,00:00:45.060 , 00:00:46.780,20,1.72,45.06,46.78
around_feeder            ,00:00:46.780 , 00:00:52.670,12,5.89,46.78,52.67
walk                     ,00:00:52.650 , 00:00:54.140,18,1.49,52.65,54.14
around_left              ,00:00:54.140 , 00:00:54.500,3,0.36,54.14,54.5
rearing_sup              ,00:00:54.510 , 00:00:55.970,16,1.46,54.51,55.97
walk                     ,00:00:55.990 , 00:00:57.270,18,1.28,55.99,57.27
rearing_sup              ,00:00:57.300 , 00:01:00.860,16,3.56,57.3,60.86
look_down                ,00:01:00.870 , 00:01:02.910,20,2.04,60.87,62.91
around_feeder            ,00:01:02.920 , 00:01:07.290,12,4.37,62.92,67.29
rearing_nosup            ,00:01:07.290 , 00:01:08.630,17,1.34,67.29,68.63
approach_right           ,00:01:08.670 , 00:01:10.600,2,1.93,68.67,70.6
around_right             ,00:01:10.600 , 00:01:11.240,4,0.64,70.6,71.24
look_down                ,00:01:11.270 , 00:01:12.780,20,1.51,71.27,72.78
walk                     ,00:01:12.830 , 00:01:14.840,18,2.01,72.83,74.84
look_down                ,00:01:14.850 , 00:01:15.520,20,0.67,74.85,75.52
walk                     ,00:01:15.530 , 00:01:16.950,18,1.42,75.53,76.95
around_feeder            ,00:01:16.970 , 00:01:27.670,12,10.7,76.97,87.67
walk                     ,00:01:27.690 , 00:01:28.990,18,1.3,87.69,88.99
rearing_sup              ,00:01:28.990 , 00:01:31.670,16,2.68,88.99,91.67
around_feeder            ,00:01:31.650 , 00:01:34.190,12,2.54,91.65,94.19
walk                     ,00:01:34.190 , 00:01:34.910,18,0.72,94.19,94.91
rearing_nosup            ,00:01:34.910 , 00:01:35.530,17,0.62,94.91,95.53
rearing_sup              ,00:01:35.540 , 00:01:36.330,16,0.79,95.54,96.33
approach_feeder          ,00:01:36.360 , 00:01:36.990,11,0.63,96.36,96.99
rearing_nosup            ,00:01:37.000 , 00:01:37.450,17,0.45,97.0,97.45
rearing_sup              ,00:01:37.450 , 00:01:38.770,16,1.32,97.45,98.77
around_door              ,00:01:38.790 , 00:01:41.390,14,2.6,98.79,101.39
rearing_sup              ,00:01:41.400 , 00:01:43.200,16,1.8,101.4,103.2
walk                     ,00:01:43.200 , 00:01:48.420,18,5.22,103.2,108.42
look_down                ,00:01:48.430 , 00:01:50.630,20,2.2,108.43,110.63
rearing_sup              ,00:01:50.620 , 00:01:52.290,16,1.67,110.62,112.29
around_left              ,00:01:52.300 , 00:01:53.960,3,1.66,112.3,113.96
rearing_sup              ,00:01:53.970 , 00:01:56.890,16,2.92,113.97,116.89
around_door              ,00:01:56.870 , 00:01:57.430,14,0.56,116.87,117.43
walk                     ,00:01:57.460 , 00:01:59.040,18,1.58,117.46,119.04
approach_right           ,00:01:59.040 , 00:01:59.560,2,0.52,119.04,119.56
push_right               ,00:01:59.580 , 00:02:00.450,1,0.87,119.58,120.45
look_down                ,00:02:00.470 , 00:02:01.050,20,0.58,120.47,121.05
push_right               ,00:02:01.060 , 00:02:02.360,1,1.3,121.06,122.36
approach_feeder          ,00:02:02.380 , 00:02:03.200,11,0.82,122.38,123.2
feeder                   ,00:02:03.210 , 00:02:10.390,9,7.18,123.21,130.39
around_feeder            ,00:02:10.350 , 00:02:13.820,12,3.47,130.35,133.82
approach_right           ,00:02:13.850 , 00:02:15.050,2,1.2,133.85,135.05
push_right               ,00:02:15.060 , 00:02:16.440,1,1.38,135.06,136.44
push_right               ,00:02:16.440 , 00:02:17.730,1,1.29,136.44,137.73
approach_feeder          ,00:02:17.740 , 00:02:19.870,11,2.13,137.74,139.87
feeder                   ,00:02:19.870 , 00:02:33.370,9,13.5,139.87,153.37
around_feeder            ,00:02:33.349 , 00:02:43.831,12,10.482,153.349,163.831
walk                     ,00:02:43.807 , 00:02:45.120,18,1.313,163.807,165.12
rearing_sup              ,00:02:45.132 , 00:02:48.060,16,2.928,165.132,168.06
look_down                ,00:02:48.072 , 00:02:54.000,20,5.928,168.072,174.0
around_feeder            ,00:02:53.987 , 00:02:58.325,12,4.338,173.987,178.325
approach_right           ,00:02:58.313 , 00:02:59.987,2,1.674,178.313,179.987
push_right               ,00:02:59.975 , 00:03:01.554,1,1.579,179.975,181.554
approach_left            ,00:03:01.530 , 00:03:02.710,7,1.18,181.53,182.71
rearing_sup              ,00:03:02.710 , 00:03:04.939,16,2.229,182.71,184.939
approach_feeder          ,00:03:04.927 , 00:03:05.325,11,0.398,184.927,185.325
rearing_sup               ,00:03:05.313 , 00:03:10.409,16,5.096,185.313,190.409
look_down                ,00:03:10.409 , 00:03:14.084,20,3.675,190.409,194.084
rearing_sup              ,00:03:14.060 , 00:03:24.144,16,10.084,194.06,204.144
approach_right           ,00:03:24.132 , 00:03:26.698,2,2.566,204.132,206.698
around_right             ,00:03:26.662 , 00:03:26.903,4,0.241,206.662,206.903
grooming                 ,00:03:26.915 , 00:03:40.891,5,13.976,206.915,220.891
approach_feeder          ,00:03:40.891 , 00:03:42.032,11,1.141,220.891,222.032
around_feeder            ,00:03:42.036 , 00:03:43.939,12,1.903,222.036,223.939
rearing_sup              ,00:03:43.927 , 00:03:46.542,16,2.615,223.927,226.542
walk                     ,00:03:46.530 , 00:03:47.397,18,0.867,226.53,227.397
rearing_sup              ,00:03:47.385 , 00:03:49.698,16,2.313,227.385,229.698
around_feeder            ,00:03:49.686 , 00:03:51.650,12,1.964,229.686,231.65
approach_right           ,00:03:51.662 , 00:03:52.602,2,0.94,231.662,232.602
around_right             ,00:03:52.578 , 00:03:53.132,4,0.554,232.578,233.132
push_right               ,00:03:53.156 , 00:03:54.409,1,1.253,233.156,234.409
approach_feeder          ,00:03:54.409 , 00:03:55.120,11,0.711,234.409,235.12
feeder                   ,00:03:55.108 , 00:04:08.590,9,13.482,235.108,248.59
walk                     ,00:04:08.614 , 00:04:10.349,18,1.735,248.614,250.349
rearing_sup              ,00:04:10.337 , 00:04:10.795,16,0.458,250.337,250.795
approach_right           ,00:04:10.831 , 00:04:11.771,2,0.94,250.831,251.771
rearing_sup              ,00:04:11.807 , 00:04:13.265,16,1.458,251.807,253.265
push_right               ,00:04:13.301 , 00:04:15.759,1,2.458,253.301,255.759
push_right               ,00:04:15.783 , 00:04:17.614,1,1.831,255.783,257.614
approach_feeder          ,00:04:17.602 , 00:04:18.638,11,1.036,257.602,258.638
feeder                   ,00:04:18.662 , 00:04:21.674,9,3.012,258.662,261.674
approach_right           ,00:04:21.650 , 00:04:22.650,2,1.0,261.65,262.65
push_right               ,00:04:22.662 , 00:04:23.975,1,1.313,262.662,263.975
approach_feeder          ,00:04:23.987 , 00:04:25.590,11,1.603,263.987,265.59
feeder                   ,00:04:25.578 , 00:04:36.373,9,10.795,265.578,276.373
approach_right           ,00:04:36.361 , 00:04:38.120,2,1.759,276.361,278.12
push_right               ,00:04:38.144 , 00:04:41.325,1,3.181,278.144,281.325
approach_feeder          ,00:04:41.289 , 00:04:41.939,11,0.65,281.289,281.939
feeder                   ,00:04:42.000 , 00:04:46.626,9,4.626,282.0,286.626
walk                     ,00:04:46.650 , 00:04:47.855,18,1.205,286.65,287.855
around_emptywall         ,00:04:47.867 , 00:04:48.674,15,0.807,287.867,288.674
rearing_sup              ,00:04:48.686 , 00:04:49.469,16,0.783,288.686,289.469
around_emptywall         ,00:04:49.481 , 00:04:50.024,15,0.543,289.481,290.024
walk                     ,00:04:50.024 , 00:04:50.747,18,0.723,290.024,290.747
look_down                ,00:04:50.747 , 00:04:52.277,20,1.53,290.747,292.277
around_right             ,00:04:52.277 , 00:04:53.216,4,0.939,292.277,293.216
push_right               ,00:04:53.301 , 00:04:54.963,1,1.662,293.301,294.963
