Start,d_name,Time,Name,code
00:11:03.440 ,нос вверх,632.847,look_around,20
00:11:04.840 ,нос вверх,636.217,look_around,20
00:11:08.210 ,нахождение у стенки с педалями(неподвижное),653.717,sit,6
00:11:25.710 ,ест,653.717,feeder,9
00:11:25.710 ,поиск еды вне кормушки,661.387,look_down,21
00:11:33.380 ,ест,676.237,feeder,9
00:11:48.230 ,поиск еды вне кормушки,707.767,look_down,21
00:12:19.760 ,передвижение по клетке,707.767,walk,19
00:12:19.760 ,нос вверх,712.647,look_around,20
00:12:24.640 ,стойка без опоры,715.847,rearing_nosup,18
00:12:27.840 ,стойка с опорой,723.397,rearing_sup,17
00:12:35.390 ,нос вверх,726.447,look_around,20
00:12:38.440 ,стойка без опоры,736.562,rearing_nosup,18
00:12:48.555 ,нос вверх,738.867,look_around,20
00:12:50.860 ,стойка с опорой,743.057,rearing_sup,17
00:12:55.050 ,ест,779.257,feeder,9
00:13:31.250 ,нос вверх,797.999,look_around,20
00:13:49.992 ,сидит в углу у кормушки,803.887,around_feeder,13
00:13:55.880 ,передвижение по клетке,817.027,walk,19
00:14:09.020 ,нос вверх,820.157,look_around,20
00:14:12.150 ,взаимодействие с педалью,823.957,around_wallwithlever,14
00:14:15.950 ,передвижение по клетке,827.717,walk,19
00:14:19.710 ,умывание,835.067,grooming,5
00:14:27.060 ,нос вверх,843.947,look_around,20
00:14:35.940 ,нос вверх,850.147,look_around,20
00:14:42.140 ,нос вверх,860.207,look_around,20
00:14:52.200 ,поиск еды вне кормушки,861.967,look_down,21
00:14:53.960 ,нос в кормушку,864.597,feeder,9
00:14:56.590 ,нос вверх,866.227,look_around,20
00:14:58.220 ,умывание,875.257,grooming,5
00:15:07.250 ,поиск еды вне кормушки,877.097,look_down,21
00:15:09.090 ,умывание,887.117,grooming,5
00:15:19.110 ,умывание,892.497,grooming,5
00:15:24.490 ,нос вверх,895.877,look_around,20
00:15:27.870 ,стойка,899.817,rearing_nosup,18
00:15:31.810 ,нос вверх,903.747,look_around,20
00:15:35.740 ,передвижение по клетке,914.247,walk,19
00:15:46.240 ,умывание,924.147,grooming,5
00:15:56.140 ,умывание,966.937,grooming,5
00:16:38.930 ,умывание,973.017,grooming,5
00:16:45.010 ,нос вверх,992.129,look_around,20
00:17:04.122 ,нахождение у стенки с педалями(неподвижное),1000.347,sit,6
00:17:12.340 ,нос вверх,1006.517,look_around,20
00:17:18.510 ,взаимодействие с педалью,1008.007,around_wallwithlever,14
00:17:20.000 ,нос вверх,1014.847,look_around,20
00:17:26.840 ,нос вверх,1014.847,look_around,20
00:17:26.840 ,нахождение у стенки с педалями(неподвижное),1029.217,sit,6
00:17:41.210 ,нахождение у стенки с педалями(неподвижное),1032.837,sit,6
00:17:44.830 ,нос вверх,1034.277,look_around,20
00:17:46.270 ,передвижение по клетке,1067.047,walk,19
00:18:19.040 ,нос вверх,1070.697,look_around,20
00:18:22.690 ,передвижение по клетке,1097.067,walk,19
00:18:49.060 ,сидит в углу у кормушки,1134.517,around_feeder,13
00:19:26.510 ,умывание,1138.767,grooming,5
00:19:30.760 ,поиск еды вне кормушки,1140.397,look_down,21
00:19:32.390 ,подход к кормушке,1148.477,approach_feeder,12
00:19:40.470 ,поиск еды вне кормушки,1152.607,look_down,21
00:19:44.600 ,нос вверх,1153.627,look_around,20
00:19:45.620 ,ест,1161.207,feeder,9
00:19:53.200 ,поворот головы в сторону педалей,1163.317,look_around,20
00:19:55.310 ,ест,1225.367,feeder,9
00:20:57.360 ,нос вверх,1228.977,look_around,20
00:21:00.970 ,поворот головы в сторону педалей,1230.567,look_around,20
00:21:02.560 ,поиск еды вне кормушки,1234.197,look_down,21
00:21:06.190 ,поиск еды вне кормушки,1240.117,look_down,21
00:21:12.110 ,ест,1251.947,feeder,9
00:21:23.940 ,умывание,1261.677,grooming,5
00:21:33.670 ,нос в кормушку,1263.207,feeder,9
00:21:35.200 ,сидит в углу у кормушки,1276.86,around_feeder,13
00:21:48.853 ,нос вверх,1285.467,look_around,20
00:21:57.460 ,стойка с опорой,1293.367,rearing_sup,17
00:22:05.360 ,нос вверх,1294.157,look_around,20
00:22:06.150 ,подход к стене с педалями,1296.587,approach_wallwithlever,11
00:22:08.580 ,нахождение у стенки с педалями(неподвижное),1311.967,sit,6
00:22:23.960 ,нос вверх,1314.227,look_around,20
00:22:26.220 ,нахождение у стенки с педалями(неподвижное),1314.227,sit,6
00:22:26.220 ,нос вверх,1338.317,look_around,20
00:22:50.310 ,передвижение по клетке,1341.017,walk,19
00:22:53.010 ,нос вверх,1342.437,look_around,20
00:22:54.430 ,ест,1362.527,feeder,9
00:23:14.520 ,сидит в углу у кормушки,1382.367,around_feeder,13
00:23:34.360 ,умывание,1391.857,grooming,5
00:23:43.850 ,передвижение по клетке,1393.347,walk,19
00:23:45.340 ,нос вверх,1397.187,look_around,20
00:23:49.180 ,нос вверх,1399.477,look_around,20
00:23:51.470 ,поиск еды в кормушке,1401.097,around_feeder,13
00:23:53.090 ,подход к стене с педалями,1405.517,approach_wallwithlever,11
00:23:57.510 ,нахождение у стенки с педалями(неподвижное),1438.547,sit,6
00:24:30.540 ,нос вверх,1441.027,look_around,20
00:24:33.020 ,нахождение у стенки с педалями(неподвижное),1444.187,sit,6
00:24:36.180 ,нос вверх,1444.187,look_around,20
00:24:36.180 ,нахождение у стенки с педалями(неподвижное),1451.197,sit,6
00:24:43.190 ,нахождение у стенки с педалями(неподвижное),1485.437,sit,6
00:25:17.430 ,взаимодействие с правой педалью,1492.527,around_right,4
00:25:24.520 ,нос вверх,1493.607,look_around,20
00:25:25.600 ,передвижение по клетке,1502.744,walk,19
00:25:34.737 ,нос вверх,1514.886,look_around,20
00:25:46.879 ,нос вверх,1519.517,look_around,20
00:25:51.510 ,нос вверх,1522.627,look_around,20
00:25:54.620 ,нос вверх,1525.577,look_around,20
00:25:57.570 ,взаимодействие с левой педалью,1537.842,around_left,3
00:26:09.835 ,взаимодействие с правой педалью,1540.627,around_right,4
00:26:12.620 ,нос вверх,1542.907,look_around,20
00:26:14.900 ,стойка с опорой,1547.197,rearing_sup,17
00:26:19.190 ,подход к кормушке,1550.577,approach_feeder,12
00:26:22.570 ,стойка без опоры,1552.977,rearing_nosup,18
00:26:24.970 ,нос вверх,1556.997,look_around,20
00:26:28.990 ,стойка без опоры,1567.84,rearing_nosup,18
00:26:39.833 ,стойка без опоры,1573.937,rearing_nosup,18
00:26:45.930 ,стойка с опорой,1582.307,rearing_sup,17
00:26:54.300 ,нос вверх,1586.817,look_around,20
00:26:58.810 ,стойка с опорой,1594.798,rearing_sup,17
00:27:06.791 ,взаимодействие с правой педалью,1595.907,around_right,4
00:27:07.900 ,нос вверх,1618.253,look_around,20
00:27:30.246 ,нахождение у стенки с педалями(неподвижное),1644.987,sit,6
00:27:56.980 ,нос вверх,1649.067,look_around,20
00:28:01.060 ,нахождение у стенки с педалями(неподвижное),1675.915,sit,6
00:28:27.908 ,умывание,1679.84,grooming,5
00:28:31.833 ,сидит у двери(нюхает),1734.33,around_door,15
00:29:26.323 ,передвижение по клетке,1751.317,walk,19
00:29:43.310 ,нахождение у стенки с педалями(неподвижное),1767.337,sit,6
00:29:59.330 ,поиск еды вне кормушки,1790.747,look_down,21
