Start,d_name,Time,Name,code
00:00:57.650 ,стойка,1.655,rearing_nosup,18
00:00:59.305 ,нос вверх,2.21,look_around,20
00:00:59.860 ,подход к кормушке,2.89,approach_feeder,12
00:01:00.540 ,ест,6.86,feeder,9
00:01:04.510 ,нос вверх,7.9,look_around,20
00:01:05.550 ,подход к левой педали,11.021,approach_left,7
00:01:08.671 ,стойка,12.863,rearing_nosup,18
00:01:10.513 ,нюхает у двери,15.67,around_door,15
00:01:13.320 ,подход к кормушке,16.65,approach_feeder,12
00:01:14.300 ,нос вверх,17.24,look_around,20
00:01:14.890 ,умывание,19.44,grooming,5
00:01:17.090 ,подход к левой педали,20.1,approach_left,7
00:01:17.750 ,голова на левой педали,20.99,around_left,3
00:01:18.640 ,подход к кормушке,22.52,approach_feeder,12
00:01:20.170 ,ест,27.866,feeder,9
00:01:25.516 ,нос вверх,28.76,look_around,20
00:01:26.410 ,подход к левой педали,29.73,approach_left,7
00:01:27.380 ,голова на левой педали,30.97,around_left,3
00:01:28.620 ,подход к кормушке,32.12,approach_feeder,12
00:01:29.770 ,ест,35.07,feeder,9
00:01:32.720 ,нос вверх,35.72,look_around,20
00:01:33.370 ,поиск еды вне кормушки,40.18,look_down,21
00:01:37.830 ,стойка,45.531,rearing_nosup,18
00:01:43.181 ,умывание,53.85,grooming,5
00:01:51.500 ,подход к левой педали,56.1,approach_left,7
00:01:53.750 ,нюхает у двери,58.01,around_door,15
00:01:55.660 ,голова на левой педали,58.95,around_left,3
00:01:56.600 ,подход к кормушке,58.95,approach_feeder,12
00:01:56.600 ,поиск еды вне кормушки,62.04,look_down,21
00:01:59.690 ,поиск еды вне кормушки,68.48,look_down,21
00:02:06.130 ,подход к левой педали,69.78,approach_left,7
00:02:07.430 ,умывание,89.21,grooming,5
00:02:26.860 ,нос к педали,90.593,around_right,4
00:02:28.243 ,умывание,106.67,grooming,5
00:02:44.320 ,голова на левой педали,108.1,around_left,3
00:02:45.750 ,подход к кормушке,109.31,approach_feeder,12
00:02:46.960 ,ест,116.669,feeder,9
00:02:54.319 ,подход к левой педали,117.81,approach_left,7
00:02:55.460 ,голова на левой педали,118.7,around_left,3
00:02:56.350 ,подход к кормушке,120.16,approach_feeder,12
00:02:57.810 ,ест,121.76,feeder,9
00:02:59.410 ,подход к правой педали,125.65,approach_right,1
00:03:03.300 ,умывание,131.49,grooming,5
00:03:09.140 ,подход к левой педали,131.85,approach_left,7
00:03:09.500 ,голова на левой педали,133.13,around_left,3
00:03:10.780 ,подход к кормушке,134.33,approach_feeder,12
00:03:11.980 ,ест,141.86,feeder,9
00:03:19.510 ,поиск еды вне кормушки,147.69,look_down,21
00:03:25.340 ,подход к левой педали,148.97,approach_left,7
00:03:26.620 ,голова на левой педали,150.346,around_left,3
00:03:27.996 ,подход к кормушке,151.0,approach_feeder,12
00:03:28.650 ,ест,152.95,feeder,9
00:03:30.600 ,умывание,159.096,grooming,5
00:03:36.746 ,нюхает у двери,162.45,around_door,15
00:03:40.100 ,подход к левой педали,163.91,approach_left,7
00:03:41.560 ,голова на левой педали,164.92,around_left,3
00:03:42.570 ,подход к кормушке,166.14,approach_feeder,12
00:03:43.790 ,ест,168.49,feeder,9
00:03:46.140 ,нос вверх,169.39,look_around,20
00:03:47.040 ,нос вверх,170.32,look_around,20
00:03:47.970 ,подход к левой педали,171.96,approach_left,7
00:03:49.610 ,голова на левой педали,173.59,around_left,3
00:03:51.240 ,голова на левой педали,174.65,around_left,3
00:03:52.300 ,подход к кормушке,175.88,approach_feeder,12
00:03:53.530 ,ест,181.511,feeder,9
00:03:59.161 ,подход к левой педали,183.09,approach_left,7
00:04:00.740 ,голова на левой педали,185.61,around_left,3
00:04:03.260 ,подход к кормушке,186.64,approach_feeder,12
00:04:04.290 ,ест,190.39,feeder,9
00:04:08.040 ,стойка,199.29,rearing_nosup,18
00:04:16.940 ,подход к левой педали,200.67,approach_left,7
