Name,Start,Finish,code,duration,time_start,time_finish
approach_right           ,00:00:00.050 , 00:00:00.920,2,0.87,0.0,0.87
around_right             ,00:00:00.920 , 00:00:01.200,4,0.28,0.87,1.15
approach_feeder          ,00:00:01.180 , 00:00:01.900,11,0.72,1.13,1.85
around_feeder            ,00:00:01.880 , 00:00:03.320,12,1.44,1.83,3.27
rearing_sup              ,00:00:03.360 , 00:00:05.420,16,2.06,3.31,5.37
around_feeder            ,00:00:05.390 , 00:00:08.120,12,2.73,5.34,8.07
walk                     ,00:00:08.090 , 00:00:08.860,18,0.77,8.04,8.81
around_emptywall         ,00:00:08.840 , 00:00:09.493,15,0.653,8.79,9.443
rearing_sup              ,00:00:09.546 , 00:00:10.106,16,0.56,9.496,10.056
approach_left            ,00:00:10.120 , 00:00:11.093,7,0.973,10.07,11.043
look_down                ,00:00:11.053 , 00:00:11.986,20,0.933,11.003,11.936
rearing_sup              ,00:00:12.026 , 00:00:13.813,16,1.787,11.976,13.763
approach_feeder          ,00:00:13.866 , 00:00:14.693,11,0.827,13.816,14.643
feeder                   ,00:00:14.733 , 00:00:28.640,9,13.907,14.683,28.59
around_feeder            ,00:00:28.653 , 00:00:32.026,12,3.373,28.603,31.976
walk                     ,00:00:31.960 , 00:00:33.026,18,1.066,31.91,32.976
rearing_sup              ,00:00:33.080 , 00:00:37.106,16,4.026,33.03,37.056
walk                     ,00:00:37.080 , 00:00:37.653,18,0.573,37.03,37.603
rearing_nosup            ,00:00:37.626 , 00:00:38.560,17,0.934,37.576,38.51
walk                     ,00:00:38.546 , 00:00:38.786,18,0.24,38.496,38.736
rearing_nosup            ,00:00:38.760 , 00:00:39.466,17,0.706,38.71,39.416
rearing_sup              ,00:00:39.466 , 00:00:40.266,16,0.8,39.416,40.216
look_down                ,00:00:40.280 , 00:00:45.586,20,5.306,40.23,45.536
around_emptywall         ,00:00:45.546 , 00:00:46.173,15,0.627,45.496,46.123
rearing_sup              ,00:00:46.186 , 00:00:47.133,16,0.947,46.136,47.083
rearing_sup              ,00:00:47.173 , 00:00:48.280,16,1.107,47.123,48.23
around_emptywall         ,00:00:48.333 , 00:00:49.666,15,1.333,48.283,49.616
approach_feeder          ,00:00:49.680 , 00:00:50.720,11,1.04,49.63,50.67
look_down                ,00:00:50.733 , 00:00:55.320,20,4.587,50.683,55.27
feeder                   ,00:00:55.266 , 00:01:02.053,9,6.787,55.216,62.003
walk                     ,00:01:02.040 , 00:01:03.240,18,1.2,61.99,63.19
look_down                ,00:01:03.253 , 00:01:05.253,20,2.0,63.203,65.203
grooming                 ,00:01:05.240 , 00:01:09.866,5,4.626,65.19,69.816
look_down                ,00:01:09.853 , 00:01:12.466,20,2.613,69.803,72.416
rearing_sup              ,00:01:12.440 , 00:01:14.946,16,2.506,72.39,74.896
rearing_sup              ,00:01:14.960 , 00:01:16.440,16,1.48,74.91,76.39
around_feeder            ,00:01:16.466 , 00:01:17.346,12,0.88,76.416,77.296
rearing_sup              ,00:01:17.400 , 00:01:25.485,16,8.085,77.35,85.435
look_down                ,00:01:25.413 , 00:01:27.213,20,1.8,85.363,87.163
around_feeder            ,00:01:27.186 , 00:01:29.386,12,2.2,87.136,89.336
approach_right           ,00:01:29.373 , 00:01:30.306,2,0.933,89.323,90.256
push_right               ,00:01:30.253 , 00:01:32.946,1,2.693,90.203,92.896
rearing_sup              ,00:01:32.920 , 00:01:33.640,16,0.72,92.87,93.59
push_right               ,00:01:33.626 , 00:01:34.693,1,1.067,93.576,94.643
look_down                ,00:01:34.706 , 00:01:35.253,20,0.547,94.656,95.203
push_right               ,00:01:35.240 , 00:01:37.066,1,1.826,95.19,97.016
approach_feeder          ,00:01:37.053 , 00:01:37.720,11,0.667,97.003,97.67
feeder                   ,00:01:37.720 , 00:01:49.546,9,11.826,97.67,109.496
walk                     ,00:01:49.560 , 00:01:50.266,18,0.706,109.51,110.216
around_door              ,00:01:50.226 , 00:01:51.986,14,1.76,110.176,111.936
look_down                ,00:01:51.960 , 00:01:56.880,20,4.92,111.91,116.83
push_left                ,00:01:56.893 , 00:01:58.386,8,1.493,116.843,118.336
look_down                ,00:01:58.373 , 00:02:00.320,20,1.947,118.323,120.27
approach_feeder          ,00:02:00.320 , 00:02:02.533,11,2.213,120.27,122.483
rearing_sup              ,00:02:02.560 , 00:02:03.853,16,1.293,122.51,123.803
around_emptywall         ,00:02:03.840 , 00:02:05.840,15,2.0,123.79,125.79
around_right             ,00:02:05.866 , 00:02:06.733,4,0.867,125.816,126.683
push_right               ,00:02:06.746 , 00:02:07.440,1,0.694,126.696,127.39
approach_feeder          ,00:02:07.480 , 00:02:08.080,11,0.6,127.43,128.03
feeder                   ,00:02:08.093 , 00:02:14.653,9,6.56,128.043,134.603
approach_left            ,00:02:14.680 , 00:02:15.706,7,1.026,134.63,135.656
look_down                ,00:02:15.720 , 00:02:18.520,20,2.8,135.67,138.47
push_left                ,00:02:18.506 , 00:02:19.386,8,0.88,138.456,139.336
rearing_sup              ,00:02:19.426 , 00:02:20.666,16,1.24,139.376,140.616
push_left                ,00:02:20.680 , 00:02:22.666,8,1.986,140.63,142.616
walk                     ,00:02:22.666 , 00:02:22.800,18,0.134,142.616,142.75
rearing_nosup            ,00:02:22.786 , 00:02:23.560,17,0.774,142.736,143.51
approach_right           ,00:02:23.560 , 00:02:23.973,2,0.413,143.51,143.923
rearing_sup              ,00:02:23.986 , 00:02:24.920,16,0.934,143.936,144.87
push_right               ,00:02:24.800 , 00:02:24.920,1,0.12,144.75,144.87
approach_feeder          ,00:02:24.880 , 00:02:25.840,11,0.96,144.83,145.79
feeder                   ,00:02:25.853 , 00:02:34.173,9,8.32,145.803,154.123
around_door              ,00:02:34.173 , 00:02:38.813,14,4.64,154.123,158.763
rearing_sup              ,00:02:38.760 , 00:02:39.546,16,0.786,158.71,159.496
around_door              ,00:02:39.506 , 00:02:42.026,14,2.52,159.456,161.976
rearing_sup              ,00:02:42.000 , 00:02:43.640,16,1.64,161.95,163.59
walk                     ,00:02:43.613 , 00:02:44.333,18,0.72,163.563,164.283
rearing_sup              ,00:02:44.320 , 00:02:47.386,16,3.066,164.27,167.336
around_feeder            ,00:02:47.400 , 00:02:49.053,12,1.653,167.35,169.003
look_down                ,00:02:49.040 , 00:02:57.386,20,8.346,168.99,177.336
rearing_sup              ,00:02:57.346 , 00:02:58.440,16,1.094,177.296,178.39
look_down                 ,00:02:58.426 , 00:03:04.733,20,6.307,178.376,184.683
around_emptywall         ,00:03:04.733 , 00:03:05.706,15,0.973,184.683,185.656
approach_right           ,00:03:05.680 , 00:03:06.573,2,0.893,185.63,186.523
look_down                ,00:03:06.546 , 00:03:07.213,20,0.667,186.496,187.163
push_right               ,00:03:07.186 , 00:03:08.426,1,1.24,187.136,188.376
approach_feeder          ,00:03:08.440 , 00:03:09.053,11,0.613,188.39,189.003
feeder                   ,00:03:09.053 , 00:03:13.053,9,4.0,189.003,193.003
around_feeder            ,00:03:13.026 , 00:03:19.413,12,6.387,192.976,199.363
approach_right           ,00:03:19.360 , 00:03:21.640,2,2.28,199.31,201.59
around_emptywall         ,00:03:21.613 , 00:03:21.960,15,0.347,201.563,201.91
grooming                 ,00:03:21.946 , 00:03:22.533,5,0.587,201.896,202.483
rearing_sup              ,00:03:22.506 , 00:03:23.320,16,0.814,202.456,203.27
around_emptywall         ,00:03:23.280 , 00:03:23.920,15,0.64,203.23,203.87
rearing_sup              ,00:03:23.906 , 00:03:25.173,16,1.267,203.856,205.123
around_emptywall         ,00:03:25.173 , 00:03:25.520,15,0.347,205.123,205.47
rearing_sup              ,00:03:25.546 , 00:03:27.120,16,1.574,205.496,207.07
approach_feeder          ,00:03:27.133 , 00:03:28.653,11,1.52,207.083,208.603
look_down                ,00:03:28.653 , 00:03:29.706,20,1.053,208.603,209.656
rearing_sup              ,00:03:29.733 , 00:03:30.573,16,0.84,209.683,210.523
around_emptywall         ,00:03:30.573 , 00:03:30.813,15,0.24,210.523,210.763
rearing_sup              ,00:03:30.826 , 00:03:31.786,16,0.96,210.776,211.736
around_emptywall         ,00:03:31.800 , 00:03:31.933,15,0.133,211.75,211.883
rearing_sup              ,00:03:31.906 , 00:03:33.346,16,1.44,211.856,213.296
around_emptywall         ,00:03:33.386 , 00:03:34.093,15,0.707,213.336,214.043
rearing_sup              ,00:03:34.106 , 00:03:36.453,16,2.347,214.056,216.403
around_emptywall         ,00:03:36.466 , 00:03:38.440,15,1.974,216.416,218.39
grooming                 ,00:03:38.480 , 00:03:40.293,5,1.813,218.43,220.243
look_down                ,00:03:40.320 , 00:03:43.973,20,3.653,220.27,223.923
approach_right           ,00:03:43.933 , 00:03:45.040,2,1.107,223.883,224.99
grooming                 ,00:03:45.040 , 00:03:45.613,5,0.573,224.99,225.563
look_down                ,00:03:45.586 , 00:03:47.293,20,1.707,225.536,227.243
around_emptywall         ,00:03:47.266 , 00:03:48.120,15,0.854,227.216,228.07
grooming                 ,00:03:48.133 , 00:03:48.826,5,0.693,228.083,228.776
approach_feeder          ,00:03:48.813 , 00:03:49.160,11,0.347,228.763,229.11
around_feeder            ,00:03:49.146 , 00:03:53.573,12,4.427,229.096,233.523
rearing_sup              ,00:03:53.520 , 00:04:02.360,16,8.84,233.47,242.31
rearing_sup              ,00:04:02.360 , 00:04:08.493,16,6.133,242.31,248.443
walk                     ,00:04:08.480 , 00:04:09.333,18,0.853,248.43,249.283
rearing_sup              ,00:04:09.346 , 00:04:11.573,16,2.227,249.296,251.523
rearing_sup              ,00:04:11.573 , 00:04:13.866,16,2.293,251.523,253.816
rearing_sup              ,00:04:13.880 , 00:04:17.613,16,3.733,253.83,257.563
walk                     ,00:04:17.626 , 00:04:18.160,18,0.534,257.576,258.11
rearing_sup              ,00:04:18.200 , 00:04:28.440,16,10.24,258.15,268.39
approach_left            ,00:04:28.453 , 00:04:29.906,7,1.453,268.403,269.856
around_left              ,00:04:29.866 , 00:04:30.773,3,0.907,269.816,270.723
approach_right           ,00:04:30.773 , 00:04:31.480,2,0.707,270.723,271.43
look_down                ,00:04:31.466 , 00:04:32.893,20,1.427,271.416,272.843
push_right               ,00:04:32.866 , 00:04:33.986,1,1.12,272.816,273.936
approach_feeder          ,00:04:34.000 , 00:04:34.626,11,0.626,273.95,274.576
feeder                   ,00:04:34.640 , 00:04:39.653,9,5.013,274.59,279.603
around_feeder            ,00:04:39.640 , 00:04:44.266,12,4.626,279.59,284.216
walk                     ,00:04:44.213 , 00:04:45.173,18,0.96,284.163,285.123
around_door              ,00:04:45.173 , 00:04:46.560,14,1.387,285.123,286.51
look_down                ,00:04:46.560 , 00:04:49.346,20,2.786,286.51,289.296
push_left                ,00:04:49.346 , 00:04:51.520,8,2.174,289.296,291.47
approach_right           ,00:04:51.560 , 00:04:52.786,2,1.226,291.51,292.736
push_right               ,00:04:52.826 , 00:04:54.173,1,1.347,292.776,294.123
approach_feeder          ,00:04:54.186 , 00:04:54.720,11,0.534,294.136,294.67
feeder                   ,00:04:54.680 , 00:05:01.720,9,7.04,294.63,301.67
around_feeder              ,00:05:01.648 , 00:05:39.216,12,37.568,301.598,339.166
sit                      ,00:05:39.189 , 00:05:43.864,6,4.675,339.139,343.814
grooming                  ,00:05:43.810 , 00:05:58.783,5,14.973,343.76,358.733
around_feeder            ,00:05:58.783 , 00:06:11.081,12,12.298,358.733,371.031
walk                     ,00:06:11.081 , 00:06:12.459,18,1.378,371.031,372.409
around_emptywall         ,00:06:12.432 , 00:06:13.270,15,0.838,372.382,373.22
walk                     ,00:06:13.243 , 00:06:13.567,18,0.324,373.193,373.517
rearing_nosup            ,00:06:13.567 , 00:06:14.351,17,0.784,373.517,374.301
approach_feeder          ,00:06:14.297 , 00:06:15.243,11,0.946,374.247,375.193
around_feeder            ,00:06:15.297 , 00:06:26.918,12,11.621,375.247,386.868
walk                     ,00:06:26.918 , 00:06:28.216,18,1.298,386.868,388.166
around_emptywall         ,00:06:28.162 , 00:06:29.324,15,1.162,388.112,389.274
approach_right           ,00:06:29.378 , 00:06:30.702,2,1.324,389.328,390.652
push_right               ,00:06:30.702 , 00:06:31.810,1,1.108,390.652,391.76
approach_feeder          ,00:06:31.891 , 00:06:32.594,11,0.703,391.841,392.544
feeder                   ,00:06:32.594 , 00:06:36.648,9,4.054,392.544,396.598
around_feeder            ,00:06:36.648 , 00:06:40.081,12,3.433,396.598,400.031
walk                     ,00:06:40.189 , 00:06:40.648,18,0.459,400.139,400.598
look_down                ,00:06:40.567 , 00:06:42.351,20,1.784,400.517,402.301
rearing_sup              ,00:06:42.378 , 00:06:44.648,16,2.27,402.328,404.598
approach_left            ,00:06:44.756 , 00:06:45.162,7,0.406,404.706,405.112
approach_right           ,00:06:45.216 , 00:06:46.135,2,0.919,405.166,406.085
push_right               ,00:06:46.081 , 00:06:47.756,1,1.675,406.031,407.706
approach_feeder          ,00:06:47.810 , 00:06:48.783,11,0.973,407.76,408.733
feeder                   ,00:06:48.729 , 00:06:59.405,9,10.676,408.679,419.355
approach_right           ,00:06:59.378 , 00:07:00.594,2,1.216,419.328,420.544
push_right               ,00:07:00.702 , 00:07:02.027,1,1.325,420.652,421.977
approach_feeder          ,00:07:02.000 , 00:07:02.729,11,0.729,421.95,422.679
feeder                   ,00:07:02.810 , 00:07:05.702,9,2.892,422.76,425.652
approach_right           ,00:07:05.864 , 00:07:07.081,2,1.217,425.814,427.031
push_right               ,00:07:07.108 , 00:07:08.459,1,1.351,427.058,428.409
approach_feeder          ,00:07:08.594 , 00:07:10.054,11,1.46,428.544,430.004
feeder                   ,00:07:10.108 , 00:07:17.513,9,7.405,430.058,437.463
