Start,d_name,Time,Name,code
00:00:17.570 ,нос вверх,0.61,look_around,20
00:00:18.180 ,подход к кормушке,3.082,approach_feeder,12
00:00:20.652 ,подход к правой педали,4.87,approach_right,1
00:00:22.440 ,нажатие на правую педаль,5.74,push_right,2
00:00:23.310 ,подход к кормушке,8.026,approach_feeder,12
00:00:25.596 ,подход к левой педали,11.946,approach_left,7
00:00:29.516 ,нос вверх,13.14,look_around,20
00:00:30.710 ,подход к правой педали,14.69,approach_right,1
00:00:32.260 ,нажатие на правую педаль,15.17,push_right,2
00:00:32.740 ,подход к кормушке,20.02,approach_feeder,12
00:00:37.590 ,подход к правой педали,21.33,approach_right,1
00:00:38.900 ,нажатие на правую педаль,22.2,push_right,2
00:00:39.770 ,подход к кормушке,23.26,approach_feeder,12
00:00:40.830 ,ест,23.84,feeder,9
00:00:41.410 ,подход к левой педали,26.91,approach_left,7
00:00:44.480 ,нос вверх,29.037,look_around,20
00:00:46.607 ,нажатие на правую педаль,29.76,push_right,2
00:00:47.330 ,подход к кормушке,30.7,approach_feeder,12
00:00:48.270 ,ест,34.172,feeder,9
00:00:51.742 ,грумминг,37.04,grooming,5
00:00:54.610 ,подход к правой педали,37.9,approach_right,1
00:00:55.470 ,нажатие на правую педаль,38.46,push_right,2
00:00:56.030 ,подход к кормушке,46.1,approach_feeder,12
00:01:03.670 ,подход к левой педали,48.485,approach_left,7
00:01:06.055 ,подход к правой педали,49.3,approach_right,1
00:01:06.870 ,нажатие на правую педаль,49.92,push_right,2
00:01:07.490 ,подход к кормушке,50.84,approach_feeder,12
00:01:08.410 ,ест,54.13,feeder,9
00:01:11.700 ,нос вверх,55.48,look_around,20
00:01:13.050 ,подход к левой педали,58.23,approach_left,7
00:01:15.800 ,грумминг,75.46,grooming,5
00:01:33.030 ,подход к правой педали,76.6,approach_right,1
00:01:34.170 ,нажатие на правую педаль,77.36,push_right,2
00:01:34.930 ,подход к кормушке,83.19,approach_feeder,12
00:01:40.760 ,ест,84.21,feeder,9
00:01:41.780 ,подход к правой педали,86.98,approach_right,1
00:01:44.550 ,нажатие на правую педаль,88.01,push_right,2
00:01:45.580 ,подход к кормушке,89.0,approach_feeder,12
00:01:46.570 ,ест,89.62,feeder,9
00:01:47.190 ,подход к правой педали,92.21,approach_right,1
00:01:49.780 ,нажатие на правую педаль,97.32,push_right,2
00:01:54.890 ,нажатие на правую педаль,98.49,push_right,2
00:01:56.060 ,подход к кормушке,99.83,approach_feeder,12
00:01:57.400 ,ест,101.07,feeder,9
00:01:58.640 ,подход к правой педали,103.68,approach_right,1
00:02:01.250 ,нажатие на правую педаль,104.58,push_right,2
00:02:02.150 ,подход к кормушке,105.96,approach_feeder,12
00:02:03.530 ,ест,110.15,feeder,9
00:02:07.720 ,подход к правой педали,113.63,approach_right,1
00:02:11.200 ,нажатие на правую педаль,115.73,push_right,2
00:02:13.300 ,грумминг,119.06,grooming,5
00:02:16.630 ,нажатие на правую педаль,120.3,push_right,2
00:02:17.870 ,подход к кормушке,120.92,approach_feeder,12
00:02:18.490 ,ест,122.0,feeder,9
00:02:19.570 ,подход к правой педали,123.61,approach_right,1
00:02:21.180 ,нос вверх,124.53,look_around,20
00:02:22.100 ,нос вверх,124.97,look_around,20
00:02:22.540 ,нажатие на правую педаль,125.76,push_right,2
00:02:23.330 ,подход к кормушке,132.169,approach_feeder,12
00:02:29.739 ,грумминг,132.42,grooming,5
00:02:29.990 ,подход к правой педали,134.14,approach_right,1
00:02:31.710 ,нажатие на правую педаль,135.19,push_right,2
00:02:32.760 ,подход к кормушке,135.97,approach_feeder,12
00:02:33.540 ,ест,137.51,feeder,9
00:02:35.080 ,грумминг,141.87,grooming,5
00:02:39.440 ,стойка,145.2,rearing_nosup,18
00:02:42.770 ,подход к правой педали,145.87,approach_right,1
00:02:43.440 ,нос вверх,146.34,look_around,20
00:02:43.910 ,нажатие на правую педаль,147.33,push_right,2
00:02:44.900 ,подход к кормушке,152.07,approach_feeder,12
00:02:49.640 ,ест,156.86,feeder,9
00:02:54.430 ,подход к правой педали,157.68,approach_right,1
00:02:55.250 ,нажатие на правую педаль,159.22,push_right,2
00:02:56.790 ,подход к кормушке,160.07,approach_feeder,12
00:02:57.640 ,ест,164.23,feeder,9
00:03:01.800 ,нос вверх,164.86,look_around,20
00:03:02.430 ,подход к правой педали,166.39,approach_right,1
00:03:03.960 ,нажатие на правую педаль,167.87,push_right,2
00:03:05.440 ,подход к кормушке,178.434,approach_feeder,12
00:03:16.004 ,нажатие на правую педаль,179.77,push_right,2
00:03:17.340 ,подход к кормушке,183.86,approach_feeder,12
00:03:21.430 ,ест,190.212,feeder,9
00:03:27.782 ,стойка,195.02,rearing_nosup,18
00:03:32.590 ,подход к левой педали,195.65,approach_left,7
00:03:33.220 ,нажатие на левую педаль,196.86,push_left,8
00:03:34.430 ,стойка,198.76,rearing_nosup,18
00:03:36.330 ,подход к кормушке,201.62,approach_feeder,12
00:03:39.190 ,стойка,206.22,rearing_nosup,18
00:03:43.790 ,грумминг,208.39,grooming,5
00:03:45.960 ,подход к правой педали,209.58,approach_right,1
00:03:47.150 ,подход к левой педали,216.55,approach_left,7
00:03:54.120 ,нос вверх,217.27,look_around,20
00:03:54.840 ,нажатие на правую педаль,222.262,push_right,2
00:03:59.832 ,нажатие на правую педаль,222.96,push_right,2
00:04:00.530 ,подход к кормушке,223.76,approach_feeder,12
00:04:01.330 ,ест,224.89,feeder,9
00:04:02.460 ,подход к правой педали,226.62,approach_right,1
00:04:04.190 ,нажатие на правую педаль,228.28,push_right,2
00:04:05.850 ,подход к кормушке,229.44,approach_feeder,12
00:04:07.010 ,ест,233.08,feeder,9
00:04:10.650 ,нос вверх,237.135,look_around,20
00:04:14.705 ,грумминг,239.79,grooming,5
00:04:17.360 ,подход к правой педали,241.29,approach_right,1
00:04:18.860 ,нажатие на правую педаль,242.22,push_right,2
00:04:19.790 ,подход к кормушке,243.23,approach_feeder,12
00:04:20.800 ,ест,244.19,feeder,9
00:04:21.760 ,подход к правой педали,247.6,approach_right,1
00:04:25.170 ,нажатие на правую педаль,248.43,push_right,2
00:04:26.000 ,подход к кормушке,249.82,approach_feeder,12
00:04:27.390 ,ест,251.77,feeder,9
00:04:29.340 ,подход к правой педали,255.78,approach_right,1
00:04:33.350 ,нажатие на правую педаль,256.5,push_right,2
00:04:34.070 ,подход к кормушке,261.82,approach_feeder,12
00:04:39.390 ,подход к правой педали,263.53,approach_right,1
00:04:41.100 ,нажатие на правую педаль,264.37,push_right,2
00:04:41.940 ,подход к кормушке,265.3,approach_feeder,12
00:04:42.870 ,ест,268.4,feeder,9
00:04:45.970 ,подход к правой педали,270.27,approach_right,1
00:04:47.840 ,грумминг,278.04,grooming,5
00:04:55.610 ,нажатие на правую педаль,279.57,push_right,2
00:04:57.140 ,подход к кормушке,284.32,approach_feeder,12
00:05:01.890 ,подход к правой педали,287.84,approach_right,1
00:05:05.410 ,нажатие на правую педаль,288.59,push_right,2
00:05:06.160 ,подход к кормушке,292.44,approach_feeder,12
00:05:10.010 ,ест,292.56,feeder,9
00:05:10.130 ,грумминг,296.97,grooming,5
00:05:14.540 ,грумминг,299.57,grooming,5
00:05:17.140 ,подход к правой педали,300.41,approach_right,1
00:05:17.980 ,нажатие на правую педаль,302.22,push_right,2
00:05:19.790 ,подход к кормушке,303.28,approach_feeder,12
00:05:20.850 ,ест,306.12,feeder,9
00:05:23.690 ,подход к левой педали,310.5,approach_left,7
00:05:28.070 ,подход к правой педали,312.26,approach_right,1
00:05:29.830 ,нажатие на правую педаль,313.04,push_right,2
00:05:30.610 ,подход к кормушке,314.3,approach_feeder,12
00:05:31.870 ,ест,317.38,feeder,9
00:05:34.950 ,подход к правой педали,319.45,approach_right,1
00:05:37.020 ,нажатие на правую педаль,321.69,push_right,2
00:05:39.260 ,подход к кормушке,323.86,approach_feeder,12
00:05:41.430 ,ест,325.34,feeder,9
00:05:42.910 ,подход к правой педали,328.08,approach_right,1
00:05:45.650 ,нажатие на правую педаль,329.54,push_right,2
00:05:47.110 ,подход к кормушке,331.14,approach_feeder,12
00:05:48.710 ,ест,333.6,feeder,9
00:05:51.170 ,подход к правой педали,339.29,approach_right,1
00:05:56.860 ,нажатие на правую педаль,339.45,push_right,2
00:05:57.020 ,подход к кормушке,340.42,approach_feeder,12
00:05:57.990 ,ест,342.34,feeder,9
00:05:59.910 ,подход к правой педали,344.96,approach_right,1
00:06:02.530 ,нажатие на правую педаль,346.64,push_right,2
00:06:04.210 ,ест,353.99,feeder,9
00:06:11.560 ,нажатие на правую педаль,354.93,push_right,2
00:06:12.500 ,подход к кормушке,356.03,approach_feeder,12
00:06:13.600 ,ест,360.33,feeder,9
00:06:17.900 ,подход к правой педали,362.29,approach_right,1
00:06:19.860 ,нажатие на правую педаль,363.16,push_right,2
00:06:20.730 ,подход к кормушке,364.23,approach_feeder,12
00:06:21.800 ,ест,369.11,feeder,9
00:06:26.680 ,грумминг,373.54,grooming,5
00:06:31.110 ,подход к правой педали,374.33,approach_right,1
00:06:31.900 ,грумминг,387.58,grooming,5
00:06:45.150 ,нажатие на правую педаль,390.73,push_right,2
00:06:48.300 ,ест,394.964,feeder,9
00:06:52.534 ,подход к правой педали,397.39,approach_right,1
00:06:54.960 ,нажатие на правую педаль,398.68,push_right,2
00:06:56.250 ,подход к кормушке,403.81,approach_feeder,12
00:07:01.380 ,подход к правой педали,404.73,approach_right,1
00:07:02.300 ,нажатие на правую педаль,406.9,push_right,2
00:07:04.470 ,подход к кормушке,407.89,approach_feeder,12
00:07:05.460 ,ест,410.08,feeder,9
00:07:07.650 ,подход к правой педали,412.97,approach_right,1
00:07:10.540 ,нажатие на правую педаль,414.1,push_right,2
00:07:11.670 ,подход к кормушке,415.54,approach_feeder,12
00:07:13.110 ,ест,416.38,feeder,9
00:07:13.950 ,подход к правой педали,419.03,approach_right,1
00:07:16.600 ,нажатие на правую педаль,419.64,push_right,2
00:07:17.210 ,подход к кормушке,430.49,approach_feeder,12
00:07:28.060 ,подход к кормушке,439.31,approach_feeder,12
00:07:36.880 ,подход к левой педали,441.5,approach_left,7
00:07:39.070 ,подход к правой педали,442.79,approach_right,1
00:07:40.360 ,нажатие на правую педаль,444.48,push_right,2
00:07:42.050 ,подход к кормушке,445.31,approach_feeder,12
00:07:42.880 ,ест,451.603,feeder,9
00:07:49.173 ,подход к правой педали,454.01,approach_right,1
00:07:51.580 ,нажатие на правую педаль,455.62,push_right,2
00:07:53.190 ,подход к кормушке,457.19,approach_feeder,12
00:07:54.760 ,ест,463.47,feeder,9
00:08:01.040 ,подход к правой педали,467.141,approach_right,1
00:08:04.711 ,нажатие на правую педаль,467.86,push_right,2
00:08:05.430 ,подход к кормушке,469.06,approach_feeder,12
00:08:06.630 ,ест,470.961,feeder,9
00:08:08.531 ,подход к правой педали,474.53,approach_right,1
00:08:12.100 ,нажатие на правую педаль,476.45,push_right,2
00:08:14.020 ,подход к кормушке,481.13,approach_feeder,12
00:08:18.700 ,подход к правой педали,485.06,approach_right,1
00:08:22.630 ,нажатие на правую педаль,485.77,push_right,2
00:08:23.340 ,подход к кормушке,486.83,approach_feeder,12
00:08:24.400 ,ест,491.972,feeder,9
00:08:29.542 ,грумминг,498.49,grooming,5
00:08:36.060 ,нажатие на правую педаль,504.067,push_right,2
00:08:41.637 ,подход к левой педали,507.17,approach_left,7
00:08:44.740 ,подход к кормушке,510.45,approach_feeder,12
00:08:48.020 ,подход к правой педали,512.4,approach_right,1
00:08:49.970 ,нажатие на правую педаль,515.71,push_right,2
00:08:53.280 ,ест,516.84,feeder,9
00:08:54.410 ,подход к правой педали,519.08,approach_right,1
00:08:56.650 ,нажатие на правую педаль,520.14,push_right,2
00:08:57.710 ,подход к кормушке,522.99,approach_feeder,12
00:09:00.560 ,ест,524.98,feeder,9
00:09:02.550 ,подход к правой педали,527.96,approach_right,1
00:09:05.530 ,нажатие на правую педаль,528.44,push_right,2
00:09:06.010 ,подход к кормушке,534.34,approach_feeder,12
00:09:11.910 ,подход к правой педали,536.58,approach_right,1
00:09:14.150 ,нажатие на правую педаль,537.21,push_right,2
00:09:14.780 ,подход к кормушке,538.3,approach_feeder,12
00:09:15.870 ,ест,539.86,feeder,9
00:09:17.430 ,подход к правой педали,542.66,approach_right,1
00:09:20.230 ,нажатие на правую педаль,544.07,push_right,2
00:09:21.640 ,подход к кормушке,548.73,approach_feeder,12
00:09:26.300 ,подход к правой педали,550.86,approach_right,1
00:09:28.430 ,нажатие на правую педаль,551.48,push_right,2
00:09:29.050 ,подход к кормушке,552.79,approach_feeder,12
00:09:30.360 ,ест,554.49,feeder,9
00:09:32.060 ,подход к правой педали,557.78,approach_right,1
00:09:35.350 ,нажатие на правую педаль,561.47,push_right,2
00:09:39.040 ,подход к кормушке,563.59,approach_feeder,12
00:09:41.160 ,подход к правой педали,567.99,approach_right,1
00:09:45.560 ,нажатие на правую педаль,568.46,push_right,2
00:09:46.030 ,подход к кормушке,569.88,approach_feeder,12
00:09:47.450 ,ест,580.3,feeder,9
00:09:57.870 ,грумминг,582.44,grooming,5
00:10:00.010 ,подход к правой педали,586.1,approach_right,1
00:10:03.670 ,нажатие на правую педаль,599.05,push_right,2
00:10:16.620 ,подход к правой педали,601.92,approach_right,1
00:10:19.490 ,нажатие на правую педаль,602.65,push_right,2
00:10:20.220 ,подход к кормушке,604.47,approach_feeder,12
00:10:22.040 ,подход к правой педали,607.03,approach_right,1
00:10:24.600 ,нажатие на правую педаль,608.08,push_right,2
00:10:25.650 ,подход к кормушке,610.98,approach_feeder,12
00:10:28.550 ,ест,612.86,feeder,9
00:10:30.430 ,подход к левой педали,617.12,approach_left,7
00:10:34.690 ,подход к правой педали,618.71,approach_right,1
00:10:36.280 ,нажатие на правую педаль,619.47,push_right,2
00:10:37.040 ,подход к кормушке,620.59,approach_feeder,12
00:10:38.160 ,ест,626.87,feeder,9
