Name,Start,Finish,code,duration,time_start,time_finish
walk                     ,00:00:19.459 , 00:00:20.594,18,1.135,0.0,1.135
rearing_sup              ,00:00:20.594 , 00:00:23.243,16,2.649,1.135,3.784
look_down                ,00:00:23.189 , 00:00:25.216,20,2.027,3.73,5.757
around_right             ,00:00:25.135 , 00:00:26.567,4,1.432,5.676,7.108
rearing_sup              ,00:00:26.486 , 00:00:28.513,16,2.027,7.027,9.054
walk                     ,00:00:28.486 , 00:00:32.702,18,4.216,9.027,13.243
around_door              ,00:00:32.675 , 00:00:35.810,14,3.135,13.216,16.351
look_down                ,00:00:35.837 , 00:00:38.000,20,2.163,16.378,18.541
around_left              ,00:00:37.972 , 00:00:38.945,3,0.973,18.513,19.486
around_door              ,00:00:38.972 , 00:00:39.567,14,0.595,19.513,20.108
walk                     ,00:00:39.567 , 00:00:45.675,18,6.108,20.108,26.216
around_feeder            ,00:00:45.675 , 00:00:49.027,12,3.352,26.216,29.568
walk                     ,00:00:48.945 , 00:00:51.054,18,2.109,29.486,31.595
around_feeder            ,00:00:51.108 , 00:00:55.567,12,4.459,31.649,36.108
approach_wallwithlever   ,00:00:55.540 , 00:00:59.540,10,4.0,36.081,40.081
look_down                ,00:00:59.459 , 00:01:00.486,20,1.027,40.0,41.027
around_left              ,00:01:00.432 , 00:01:05.081,3,4.649,40.973,45.622
look_down                ,00:01:05.081 , 00:01:08.567,20,3.486,45.622,49.108
rearing_sup              ,00:01:08.432 , 00:01:13.621,16,5.189,48.973,54.162
walk                     ,00:01:13.594 , 00:01:16.189,18,2.595,54.135,56.73
rearing_sup              ,00:01:16.081 , 00:01:22.432,16,6.351,56.622,62.973
around_left              ,00:01:22.405 , 00:01:24.216,3,1.811,62.946,64.757
walk                     ,00:01:24.243 , 00:01:36.000,18,11.757,64.784,76.541
rearing_sup              ,00:01:35.945 , 00:01:37.972,16,2.027,76.486,78.513
around_feeder            ,00:01:38.000 , 00:01:40.783,12,2.783,78.541,81.324
rearing_sup              ,00:01:40.756 , 00:01:44.864,16,4.108,81.297,85.405
walk                     ,00:01:44.891 , 00:01:51.162,18,6.271,85.432,91.703
around_door              ,00:01:51.135 , 00:01:52.621,14,1.486,91.676,93.162
rearing_sup              ,00:01:52.648 , 00:01:57.648,16,5.0,93.189,98.189
walk                     ,00:01:57.540 , 00:02:00.540,18,3.0,98.081,101.081
around_right             ,00:02:00.540 , 00:02:03.297,4,2.757,101.081,103.838
look_down                ,00:02:03.243 , 00:02:05.243,20,2.0,103.784,105.784
walk                     ,00:02:05.270 , 00:02:11.729,18,6.459,105.811,112.27
around_door              ,00:02:11.648 , 00:02:13.756,14,2.108,112.189,114.297
around_feeder            ,00:02:13.810 , 00:02:15.648,12,1.838,114.351,116.189
around_door              ,00:02:15.567 , 00:02:17.162,14,1.595,116.108,117.703
around_feeder            ,00:02:17.054 , 00:02:18.189,12,1.135,117.595,118.73
walk                     ,00:02:18.189 , 00:02:22.891,18,4.702,118.73,123.432
rearing_sup              ,00:02:22.837 , 00:02:31.486,16,8.649,123.378,132.027
sit                      ,00:02:31.405 , 00:02:39.216,6,7.811,131.946,139.757
around_feeder            ,00:02:39.216 , 00:02:43.756,12,4.54,139.757,144.297
walk                     ,00:02:43.729 , 00:02:49.297,18,5.568,144.27,149.838
look_down                ,00:02:49.243 , 00:02:52.351,20,3.108,149.784,152.892
rearing_sup              ,00:02:52.351 , 00:03:01.432,16,9.081,152.892,161.973
walk                     ,00:03:01.432 , 00:03:07.864,18,6.432,161.973,168.405
around_left              ,00:03:07.810 , 00:03:10.837,3,3.027,168.351,171.378
rearing_sup              ,00:03:10.783 , 00:03:16.918,16,6.135,171.324,177.459
walk                     ,00:03:16.891 , 00:03:18.027,18,1.136,177.432,178.568
look_down                ,00:03:18.027 , 00:03:20.027,20,2.0,178.568,180.568
around_right             ,00:03:20.027 , 00:03:21.189,4,1.162,180.568,181.73
around_emptywall         ,00:03:21.135 , 00:03:23.135,15,2.0,181.676,183.676
walk                     ,00:03:23.027 , 00:03:26.459,18,3.432,183.568,187.0
around_feeder            ,00:03:26.432 , 00:03:29.891,12,3.459,186.973,190.432
walk                     ,00:03:29.810 , 00:03:35.864,18,6.054,190.351,196.405
