Name,Start,Finish,code,duration,time_start,time_finish
approach_left            ,00:00:16.030 , 00:00:16.990,7,0.96,0.0,0.96
around_left              ,00:00:16.990 , 00:00:17.510,3,0.52,0.96,1.48
approach_right           ,00:00:17.510 , 00:00:18.890,2,1.38,1.48,2.86
around_emptywall         ,00:00:18.900 , 00:00:23.360,15,4.46,2.87,7.33
walk                     ,00:00:23.330 , 00:00:26.120,18,2.79,7.3,10.09
around_right             ,00:00:26.130 , 00:00:29.270,4,3.14,10.1,13.24
walk                     ,00:00:29.260 , 00:00:30.780,18,1.52,13.23,14.75
approach_feeder          ,00:00:30.780 , 00:00:31.630,11,0.85,14.75,15.6
around_feeder            ,00:00:31.630 , 00:00:32.530,12,0.9,15.6,16.5
walk                     ,00:00:32.540 , 00:00:34.680,18,2.14,16.51,18.65
walk                     ,00:00:34.680 , 00:00:38.470,18,3.79,18.65,22.44
approach_feeder          ,00:00:38.500 , 00:00:38.970,11,0.47,22.47,22.94
around_feeder            ,00:00:38.980 , 00:00:40.040,12,1.06,22.95,24.01
walk                     ,00:00:40.050 , 00:00:41.270,18,1.22,24.02,25.24
approach_left            ,00:00:41.280 , 00:00:42.000,7,0.72,25.25,25.97
approach_right           ,00:00:42.000 , 00:00:43.200,2,1.2,25.97,27.17
look_down                ,00:00:43.210 , 00:00:46.610,20,3.4,27.18,30.58
rearing_sup              ,00:00:46.590 , 00:00:47.740,16,1.15,30.56,31.71
walk                     ,00:00:47.750 , 00:00:49.590,18,1.84,31.72,33.56
around_feeder            ,00:00:49.570 , 00:00:51.110,12,1.54,33.54,35.08
approach_left            ,00:00:51.090 , 00:00:52.310,7,1.22,35.06,36.28
look_down                ,00:00:52.320 , 00:00:54.440,20,2.12,36.29,38.41
rearing_sup              ,00:00:54.440 , 00:00:55.620,16,1.18,38.41,39.59
around_door              ,00:00:55.650 , 00:00:57.030,14,1.38,39.62,41.0
rearing_sup              ,00:00:57.060 , 00:00:58.000,16,0.94,41.03,41.97
walk                     ,00:00:57.990 , 00:01:00.530,18,2.54,41.96,44.5
around_feeder            ,00:01:00.550 , 00:01:02.370,12,1.82,44.52,46.34
walk                     ,00:01:02.380 , 00:01:03.380,18,1.0,46.35,47.35
approach_right           ,00:01:03.380 , 00:01:03.900,2,0.52,47.35,47.87
around_right             ,00:01:03.920 , 00:01:05.090,4,1.17,47.89,49.06
walk                     ,00:01:05.090 , 00:01:06.910,18,1.82,49.06,50.88
rearing_sup              ,00:01:06.880 , 00:01:08.430,16,1.55,50.85,52.4
approach_feeder          ,00:01:08.420 , 00:01:08.860,11,0.44,52.39,52.83
walk                     ,00:01:08.860 , 00:01:09.870,18,1.01,52.83,53.84
look_down                ,00:01:09.850 , 00:01:11.390,20,1.54,53.82,55.36
rearing_sup              ,00:01:11.380 , 00:01:12.280,16,0.9,55.35,56.25
walk                     ,00:01:12.300 , 00:01:13.190,18,0.89,56.27,57.16
approach_right           ,00:01:13.200 , 00:01:13.870,2,0.67,57.17,57.84
around_right             ,00:01:13.850 , 00:01:14.350,4,0.5,57.82,58.32
approach_left            ,00:01:14.370 , 00:01:15.970,7,1.6,58.34,59.94
