Name,Start,Finish,code,duration,time_start,time_finish
walk                     ,00:00:10.260 , 00:00:11.980,18,1.72,0.0,1.72
look_around               ,00:00:11.960 , 00:00:22.690,19,10.73,1.7,12.43
around_emptywall         ,00:00:22.680 , 00:00:25.110,15,2.43,12.42,14.85
walk                     ,00:00:25.100 , 00:00:26.150,18,1.05,14.84,15.89
around_emptywall         ,00:00:26.170 , 00:00:27.300,15,1.13,15.91,17.04
walk                      ,00:00:27.300 , 00:00:32.270,18,4.97,17.04,22.01
look_around              ,00:00:32.280 , 00:00:37.370,19,5.09,22.02,27.11
walk                     ,00:00:37.360 , 00:00:38.940,18,1.58,27.1,28.68
rearing_sup              ,00:00:38.940 , 00:00:39.600,16,0.66,28.68,29.34
walk                     ,00:00:39.590 , 00:00:41.500,18,1.91,29.33,31.24
rearing_sup              ,00:00:41.530 , 00:00:44.130,16,2.6,31.27,33.87
walk                     ,00:00:44.110 , 00:00:44.860,18,0.75,33.85,34.6
look_down                ,00:00:44.900 , 00:00:45.880,20,0.98,34.64,35.62
around_left              ,00:00:45.880 , 00:00:46.900,3,1.02,35.62,36.64
rearing_sup              ,00:00:46.900 , 00:00:48.110,16,1.21,36.64,37.85
walk                     ,00:00:48.130 , 00:00:48.370,18,0.24,37.87,38.11
around_right             ,00:00:48.400 , 00:00:48.970,4,0.57,38.14,38.71
walk                     ,00:00:48.960 , 00:00:50.340,18,1.38,38.7,40.08
look_down                ,00:00:50.340 , 00:00:51.840,20,1.5,40.08,41.58
walk                     ,00:00:51.850 , 00:00:53.160,18,1.31,41.59,42.9
around_door              ,00:00:53.170 , 00:00:54.330,14,1.16,42.91,44.07
walk                     ,00:00:54.340 , 00:00:55.210,18,0.87,44.08,44.95
look_down                ,00:00:55.220 , 00:00:56.690,20,1.47,44.96,46.43
around_right             ,00:00:56.770 , 00:00:57.280,4,0.51,46.51,47.02
around_emptywall         ,00:00:57.290 , 00:00:58.240,15,0.95,47.03,47.98
rearing_sup              ,00:00:58.230 , 00:00:59.650,16,1.42,47.97,49.39
look_down                ,00:00:59.650 , 00:01:00.330,20,0.68,49.39,50.07
walk                     ,00:01:00.350 , 00:01:01.380,18,1.03,50.09,51.12
rearing_sup              ,00:01:01.410 , 00:01:02.450,16,1.04,51.15,52.19
around_feeder            ,00:01:02.450 , 00:01:03.360,12,0.91,52.19,53.1
walk                     ,00:01:03.380 , 00:01:04.410,18,1.03,53.12,54.15
around_door              ,00:01:04.430 , 00:01:04.960,14,0.53,54.17,54.7
around_left              ,00:01:04.990 , 00:01:05.300,3,0.31,54.73,55.04
rearing_sup              ,00:01:05.280 , 00:01:06.620,16,1.34,55.02,56.36
look_down                ,00:01:06.610 , 00:01:07.220,20,0.61,56.35,56.96
walk                     ,00:01:07.240 , 00:01:08.180,18,0.94,56.98,57.92
around_right             ,00:01:08.200 , 00:01:08.770,4,0.57,57.94,58.51
walk                     ,00:01:08.780 , 00:01:09.870,18,1.09,58.52,59.61
look_down                ,00:01:09.890 , 00:01:11.510,20,1.62,59.63,61.25
rearing_sup              ,00:01:11.530 , 00:01:13.160,16,1.63,61.27,62.9
around_feeder            ,00:01:13.160 , 00:01:14.130,12,0.97,62.9,63.87
look_down                ,00:01:14.120 , 00:01:15.690,20,1.57,63.86,65.43
rearing_sup              ,00:01:15.700 , 00:01:16.570,16,0.87,65.44,66.31
walk                      ,00:01:16.620 , 00:01:19.340,18,2.72,66.36,69.08
look_down                ,00:01:19.360 , 00:01:20.440,20,1.08,69.1,70.18
around_left              ,00:01:20.480 , 00:01:21.000,3,0.52,70.22,70.74
rearing_sup              ,00:01:21.030 , 00:01:21.970,16,0.94,70.77,71.71
around_door              ,00:01:21.990 , 00:01:22.960,14,0.97,71.73,72.7
approach_feeder          ,00:01:23.020 , 00:01:24.130,11,1.11,72.76,73.87
around_feeder            ,00:01:24.190 , 00:01:26.340,12,2.15,73.93,76.08
walk                     ,00:01:26.380 , 00:01:27.730,18,1.35,76.12,77.47
grooming                 ,00:01:27.750 , 00:01:31.150,5,3.4,77.49,80.89
walk                     ,00:01:31.160 , 00:01:32.340,18,1.18,80.9,82.08
rearing_sup              ,00:01:32.340 , 00:01:33.840,16,1.5,82.08,83.58
around_feeder            ,00:01:33.850 , 00:01:34.440,12,0.59,83.59,84.18
