Name,Start,Finish,code,duration,time_start,time_finish
walk                      ,00:00:20.010 , 00:00:27.190,18,7.18,0.0,7.18
around_emptywall         ,00:00:27.170 , 00:00:28.830,15,1.66,7.16,8.82
approach_right           ,00:00:28.830 , 00:00:29.280,2,0.45,8.82,9.27
around_right             ,00:00:29.290 , 00:00:30.500,4,1.21,9.28,10.49
walk                     ,00:00:30.480 , 00:00:31.810,18,1.33,10.47,11.8
approach_left            ,00:00:31.810 , 00:00:32.830,7,1.02,11.8,12.82
around_left              ,00:00:32.850 , 00:00:33.370,3,0.52,12.84,13.36
around_door              ,00:00:33.390 , 00:00:34.820,14,1.43,13.38,14.81
walk                     ,00:00:34.800 , 00:00:36.370,18,1.57,14.79,16.36
around_emptywall         ,00:00:36.370 , 00:00:37.450,15,1.08,16.36,17.44
around_feeder            ,00:00:37.460 , 00:00:38.930,12,1.47,17.45,18.92
walk                     ,00:00:38.960 , 00:00:40.390,18,1.43,18.95,20.38
approach_left            ,00:00:40.410 , 00:00:41.980,7,1.57,20.4,21.97
look_down                ,00:00:41.980 , 00:00:44.490,20,2.51,21.97,24.48
around_door               ,00:00:44.490 , 00:00:46.330,14,1.84,24.48,26.32
rearing_sup              ,00:00:46.330 , 00:00:47.370,16,1.04,26.32,27.36
approach_feeder          ,00:00:47.380 , 00:00:48.020,11,0.64,27.37,28.01
walk                      ,00:00:48.010 , 00:00:49.710,18,1.7,28.0,29.7
around_right             ,00:00:49.710 , 00:00:50.570,4,0.86,29.7,30.56
rearing_nosup            ,00:00:50.570 , 00:00:51.560,17,0.99,30.56,31.55
rearing_sup              ,00:00:51.570 , 00:00:52.030,16,0.46,31.56,32.02
walk                     ,00:00:52.050 , 00:00:54.510,18,2.46,32.04,34.5
look_around              ,00:00:54.520 , 00:00:55.290,19,0.77,34.51,35.28
around_feeder            ,00:00:55.280 , 00:00:56.860,12,1.58,35.27,36.85
walk                     ,00:00:56.840 , 00:00:57.800,18,0.96,36.83,37.79
rearing_nosup            ,00:00:57.810 , 00:00:58.700,17,0.89,37.8,38.69
walk                     ,00:00:58.720 , 00:01:00.220,18,1.5,38.71,40.21
look_down                ,00:01:00.210 , 00:01:02.250,20,2.04,40.2,42.24
walk                      ,00:01:02.270 , 00:01:04.460,18,2.19,42.26,44.45
rearing_sup              ,00:01:04.450 , 00:01:05.970,16,1.52,44.44,45.96
look_down                ,00:01:06.000 , 00:01:13.210,20,7.21,45.99,53.2
walk                     ,00:01:13.220 , 00:01:15.570,18,2.35,53.21,55.56
around_feeder            ,00:01:15.550 , 00:01:18.760,12,3.21,55.54,58.75
rearing_nosup            ,00:01:18.740 , 00:01:20.600,17,1.86,58.73,60.59
walk                     ,00:01:20.600 , 00:01:21.820,18,1.22,60.59,61.81
look_down                ,00:01:21.820 , 00:01:23.880,20,2.06,61.81,63.87
rearing_sup              ,00:01:23.880 , 00:01:25.720,16,1.84,63.87,65.71
look_down                ,00:01:25.730 , 00:01:29.370,20,3.64,65.72,69.36
walk                     ,00:01:29.390 , 00:01:30.920,18,1.53,69.38,70.91
look_down                ,00:01:30.930 , 00:01:37.650,20,6.72,70.92,77.64
rearing_sup              ,00:01:37.640 , 00:01:40.300,16,2.66,77.63,80.29
look_down                ,00:01:40.290 , 00:01:41.580,20,1.29,80.28,81.57
rearing_sup              ,00:01:41.600 , 00:01:44.520,16,2.92,81.59,84.51
walk                     ,00:01:44.510 , 00:01:46.420,18,1.91,84.5,86.41
look_down                ,00:01:46.410 , 00:01:53.510,20,7.1,86.4,93.5
walk                     ,00:01:53.490 , 00:01:55.090,18,1.6,93.48,95.08
look_down                ,00:01:55.080 , 00:01:58.510,20,3.43,95.07,98.5
walk                     ,00:01:58.510 , 00:02:00.170,18,1.66,98.5,100.16
look_down                ,00:02:00.180 , 00:02:01.470,20,1.29,100.17,101.46
rearing_sup              ,00:02:01.480 , 00:02:03.180,16,1.7,101.47,103.17
walk                     ,00:02:03.170 , 00:02:05.080,18,1.91,103.16,105.07
around_left              ,00:02:05.100 , 00:02:06.590,3,1.49,105.09,106.58
look_down                ,00:02:06.600 , 00:02:09.390,20,2.79,106.59,109.38
rearing_sup              ,00:02:09.380 , 00:02:11.290,16,1.91,109.37,111.28
walk                     ,00:02:11.290 , 00:02:13.560,18,2.27,111.28,113.55
around_emptywall         ,00:02:13.550 , 00:02:14.910,15,1.36,113.54,114.9
rearing_sup              ,00:02:14.930 , 00:02:16.150,16,1.22,114.92,116.14
around_right             ,00:02:16.160 , 00:02:18.440,4,2.28,116.15,118.43
walk                     ,00:02:18.460 , 00:02:20.330,18,1.87,118.45,120.32
look_down                ,00:02:20.320 , 00:02:22.860,20,2.54,120.31,122.85
grooming                 ,00:02:22.840 , 00:02:26.200,5,3.36,122.83,126.19
walk                      ,00:02:26.220 , 00:02:32.160,18,5.94,126.21,132.15
around_door              ,00:02:32.150 , 00:02:34.290,14,2.14,132.14,134.28
look_down                ,00:02:34.290 , 00:02:35.840,20,1.55,134.28,135.83
rearing_sup              ,00:02:35.890 , 00:02:39.990,16,4.1,135.88,139.98
walk                     ,00:02:39.990 , 00:02:41.780,18,1.79,139.98,141.77
around_emptywall         ,00:02:41.770 , 00:02:43.130,15,1.36,141.76,143.12
rearing_sup              ,00:02:43.140 , 00:02:44.280,16,1.14,143.13,144.27
around_emptywall         ,00:02:44.280 , 00:02:46.040,15,1.76,144.27,146.03
walk                     ,00:02:46.030 , 00:02:47.260,18,1.23,146.02,147.25
look_down                ,00:02:47.270 , 00:02:47.690,20,0.42,147.26,147.68
around_right             ,00:02:47.690 , 00:02:48.230,4,0.54,147.68,148.22
walk                     ,00:02:48.220 , 00:02:49.440,18,1.22,148.21,149.43
around_door              ,00:02:49.450 , 00:02:50.700,14,1.25,149.44,150.69
around_left              ,00:02:50.700 , 00:02:51.670,3,0.97,150.69,151.66
around_door              ,00:02:51.690 , 00:02:53.790,14,2.1,151.68,153.78
walk                     ,00:02:53.790 , 00:02:54.530,18,0.74,153.78,154.52
look_down                ,00:02:54.550 , 00:02:55.390,20,0.84,154.54,155.38
around_feeder            ,00:02:55.400 , 00:02:56.940,12,1.54,155.39,156.93
rearing_sup              ,00:02:56.920 , 00:02:59.830,16,2.91,156.91,159.82
look_down                ,00:02:59.820 , 00:03:01.160,20,1.34,159.81,161.15
walk                     ,00:03:01.150 , 00:03:02.120,18,0.97,161.14,162.11
around_emptywall         ,00:03:02.120 , 00:03:03.180,15,1.06,162.11,163.17
around_right             ,00:03:03.190 , 00:03:04.200,4,1.01,163.18,164.19
rearing_sup              ,00:03:04.180 , 00:03:05.740,16,1.56,164.17,165.73
around_emptywall         ,00:03:05.740 , 00:03:07.930,15,2.19,165.73,167.92
walk                     ,00:03:07.940 , 00:03:09.490,18,1.55,167.93,169.48
around_door              ,00:03:09.480 , 00:03:11.850,14,2.37,169.47,171.84
rearing_sup              ,00:03:11.850 , 00:03:13.290,16,1.44,171.84,173.28
around_door              ,00:03:13.320 , 00:03:15.720,14,2.4,173.31,175.71
walk                     ,00:03:15.720 , 00:03:16.680,18,0.96,175.71,176.67
